run_id,timestamp,description,model,n_features,n_model_features,n_train,oof_auc,fold_mean,fold_std,fit_seconds,public_lb,gap
001,2026-08-13T01:57:51Z,Dummy (prior) — harness sanity check,dummy,12,12,691369,0.499999,0.5,0.0,1.8,,
002,2026-08-13T01:58:04Z,"Phase 0: HistGBM, numeric cols only",baseline,12,9,691369,0.954677,0.954678,0.000804,12.4,0.95576,-0.001083
003,2026-08-13T01:58:10Z,"Logistic regression, impute+scale+onehot",logistic,12,26,691369,0.913793,0.913795,0.000771,6.2,,
004,2026-08-13T02:01:07Z,"Random forest (200 trees, leaf>=50)",rf,12,12,691369,0.940593,0.940596,0.000643,176.2,,
005,2026-08-13T02:01:29Z,"HistGBM, numeric + categorical",histgbm,12,12,691369,0.954704,0.954704,0.000782,21.0,0.95578,-0.001076
006,2026-08-13T02:01:54Z,HistGBM + is-missing indicators,histgbm_isna,12,21,691369,0.954704,0.954704,0.000782,24.6,,
007,2026-08-13T02:01:57Z,Is-missing pattern only (MNAR test),missingness_only,12,12,691369,0.500382,0.500374,0.000739,2.6,,
008,2026-08-26T04:02:01Z,Phase 4: HistGBM + engineered ratios (all 15),histgbm_fe,12,27,691369,0.956091,0.956094,0.00068,26.1,0.95708,-0.000989
009,2026-08-26T04:06:41Z,Phase 4: HistGBM + 5 surviving ratios,histgbm_fe_pruned,12,17,691369,0.956023,0.956025,0.000781,22.1,,
010,2026-08-26T04:17:35Z,"HistGBM, native categorical splits",histgbm_native_cat,12,12,691369,0.954704,0.954707,0.000722,19.7,,
011,2026-08-26T04:27:04Z,Phase 4: engineered ratios minus the sleep_deficit control,histgbm_fe_nocontrol,12,26,691369,0.955909,0.95591,0.000722,22.8,,
012,2026-08-26T05:07:05Z,Phase 6: tuned HistGBM + engineered,histgbm_tuned,12,27,691369,0.963192,0.963193,0.000474,65.4,0.96511,-0.001918
013,2026-08-26T05:18:11Z,"Phase 6: search runner-up #2 (depth 12, lr 0.038)",histgbm_tuned,12,27,691369,0.962583,0.962585,0.000513,128.3,,
014,2026-08-26T05:19:23Z,"Phase 6: search runner-up #3 (depth None, lr 0.101)",histgbm_tuned,12,27,691369,0.962955,0.962958,0.000511,69.1,,
015,2026-08-26T05:35:22Z,Phase 4: HistGBM + engineered ratios (all 15) + external data,histgbm_fe,12,27,691369,0.955865,0.955865,0.00081,23.3,,
016,2026-08-26T05:36:28Z,Phase 6: tuned HistGBM + engineered + external data,histgbm_tuned,12,27,691369,0.963349,0.963353,0.000443,64.3,,
